url_path,views_total,views_unique
/awslabs/fullstack-solution-template-for-agentcore,1402,744
/awslabs/fullstack-solution-template-for-agentcore/pulls,283,37
/awslabs/fullstack-solution-template-for-agentcore/issues,158,26
/awslabs/fullstack-solution-template-for-agentcore/tree/main,135,80
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/DEPLOYMENT.md,87,57
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/architecture-diagram/FAST-architecture-20260403.png,76,30
/awslabs/fullstack-solution-template-for-agentcore/commit/3343e2a216b3c7f487c55538bc5662dce5d6fded,66,4
/awslabs/fullstack-solution-template-for-agentcore/commit/8a65ef23c934f919f144ed7be55e7c0c48764983,66,4
/awslabs/fullstack-solution-template-for-agentcore/commit/948e6834bce87b058426a1c801e5b8b4bdaa1a29,66,4
/awslabs/fullstack-solution-template-for-agentcore/commit/204c0f8ef963622e5c78cd67ae81e02bf235c2b6,65,7
