url_path,views_total,views_unique
/awslabs/fullstack-solution-template-for-agentcore,1298,693
/awslabs/fullstack-solution-template-for-agentcore/pulls,263,38
/awslabs/fullstack-solution-template-for-agentcore/tree/main,133,75
/awslabs/fullstack-solution-template-for-agentcore/issues,130,27
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/DEPLOYMENT.md,83,57
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/architecture-diagram/FAST-architecture-20260403.png,79,31
/awslabs/fullstack-solution-template-for-agentcore/commit/8a65ef23c934f919f144ed7be55e7c0c48764983,68,6
/awslabs/fullstack-solution-template-for-agentcore/commit/948e6834bce87b058426a1c801e5b8b4bdaa1a29,66,6
/awslabs/fullstack-solution-template-for-agentcore/commit/204c0f8ef963622e5c78cd67ae81e02bf235c2b6,65,9
/awslabs/fullstack-solution-template-for-agentcore/commit/d42b039da92a9b1dfc7a8f16565f0102e9f1e0d1,65,4
